Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
4.05,-1.22,2529530,0.07,2.05,-10.20,29.81,-2.71,0.7699619771863118
1.85,0.01,11527,0.00,1.58,-19.91,15.62,2.66,0.24342105263157898
24.34,1.00,113767,0.90,9.67,-10.42,45.31,-3.04,1.0141666666666667
126.75,0.64,170750,0.96,18.71,-6.80,84.18,1.33,0.7526722090261282
28.70,-1.48,779128,-3.18,0.00,-12.31,38.61,6.51,0.875
16.16,0.00,39741,0.26,0.22,-10.22,79.36,2.14,0.8347107438016529
50.43,-1.50,261343,2.03,1.46,-14.93,38.54,-3.25,0.8413413413413414
0.6855,-2.4199,71589,-3.8800,0.2900,-47.2692,55.7955,-4.0075,0.457
4.10,-2.38,126375,0.00,21.35,-56.84,20.59,-5.32,0.8932461873638343
3.05,1.67,113849,0.00,2.55,-45.44,29.79,3.65,0.39765319426336376
0.1372,-6.9830,6632965,0.0000,0.0700,-97.9965,11.9086,-47.4684,0.008575
28.00,1.45,41075,0.00,3.18,-18.96,12.90,-3.99,0.7368421052631579
37.75,-0.53,192093,1.54,7.28,-4.86,26.68,0.54,0.9404583956153463
18.425,-1.628,1695308,3.400,3.370,-5.513,26.112,-0.856,0.9419734151329244
52.88,-0.60,672545,0.29,4.44,-58.92,95.49,-11.00,0.6474837761724012
12.45,-3.11,60967,2.36,19.50,-19.68,29.01,-1.99,0.810546875
87.26,0.02,1304902,1.40,3.24,-1.16,42.82,3.87,0.9245602881966519
21.30,-7.79,13646,0.00,42.13,-15.43,87.17,-8.18,2.13
15.63,0.19,138118,0.00,1.00,-13.17,12.12,-0.54,0.6946666666666667
45.89,-1.38,188488,1.33,3.98,-6.95,20.70,1.49,0.9072756030051404
69.05,1.17,21679,1.85,5.09,-7.99,46.42,1.02,0.9920977011494253
3.44,2.08,222516,-0.44,8.94,-8.27,119.11,1.15,0.9297297297297297
35.43,-1.39,1089,0.00,6.53,-10.87,43.09,-1.39,0.8931182253592135
735.70,-1.22,399851,2.67,9.38,-1.42,31.14,4.50,0.983740272243468
4.10,-1.20,144571,-1.47,7.53,-22.42,39.93,-8.95,0.6925675675675675
24.20,-1.22,17340,1.87,2.75,-16.55,33.41,-4.19,0.7333333333333333
5.05,-0.98,39448,-0.44,12.28,-43.95,3.48,-11.87,0.6889495225102319
1.20,0.84,198609,0.00,0.64,-15.49,69.01,11.05,0.5150214592274678
23.64,0.34,61829,3.08,6.53,-5.25,63.60,-0.75,0.9486356340288924
49.50,-0.90,755499,0.62,3.96,-18.72,42.69,-4.13,0.8578856152512998
0.95,-1.55,46659,0.00,1.23,-88.05,3.24,-21.20,0.10555555555555556
15.14,-0.98,174468,1.04,5.20,-41.72,3.20,-11.89,0.6222770242498973
27.99,-1.13,315759,142.85,7.95,-6.67,107.49,0.46,0.8303174132304953
47.81,1.57,829,1.48,1.97,-0.21,57.43,13.04,0.9443017973533478
73.10,1.11,890681,5.63,4.99,-0.95,74.42,10.13,0.9080745341614906
2.3624,6.4144,294802,0.0000,0.7800,-60.8226,136.2400,25.9947,0.4482732447817837
24.90,1.22,42370,0.00,3.39,-9.45,22.06,2.42,0.8814159292035397
2.05,-4.65,43189,0.00,1.02,-26.81,7.73,-6.94,0.41
0.64,-4.41,30074,0.00,3.39,-63.43,16.36,-21.65,0.128
2.84,-1.39,51621,-0.74,35.21,-25.26,167.92,-4.74,0.6558891454965358
19.35,-0.77,8210,1.35,0.87,-19.37,63.15,-3.90,0.9797468354430381
6.83,-3.39,738988,1.05,2.81,-14.52,39.67,-3.50,0.8558897243107769
1.0599,0.9333,12857,0.0000,0.3800,-61.0317,12.5159,-3.5165,0.30282857142857145
1.38,0.00,694613,0.00,0.30,-68.13,118.94,23.87,0.2509090909090909
30.80,6.21,6670,0.00,0.00,-14.35,33.91,5.22,30.8
3.59,-0.83,38422,-0.41,4.46,-44.68,27.30,-3.07,0.44875
4.95,-0.60,27877,0.00,5.86,-51.66,2.51,-7.98,0.225
5.88,-0.17,93837,2.47,1.75,-7.05,51.94,19.79,0.84
10.55,3.43,59166,5.65,1.28,-19.77,24.10,-0.40,0.8494363929146539
42.52,-0.58,1386093,1.29,8.78,-15.82,14.21,-7.23,0.9499553172475426
37.70,-0.66,47412,4.30,4.90,-11.40,40.83,-0.96,0.9792207792207793
36.50,0.16,663375,1.25,0.94,-2.51,29.16,1.71,0.9429088090932576
79.45,-0.71,51906,1.58,2.36,-11.17,17.29,2.28,1.0593333333333335
20.07,-2.38,211307,9.84,3.00,-18.41,183.47,-4.04,0.732749178532311
10.35,-0.48,25009,0.00,0.00,-1.43,38.00,5.45,0.9409090909090909
16.77,-1.35,30175,1.80,1.28,-6.42,63.93,0.63,0.9316666666666666
9.20,3.37,54725,1.23,5.67,-46.04,5.14,-16.35,0.9199999999999999
5.20,-0.95,53870,-1.19,0.87,-38.46,79.31,-19.20,1.04
